Sample,Stim,Culture,Donor,Fold exp,CAR,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
0.1,1.2,A,AC6,260.7,44.7,2.424028269,13.6,40.3,24.4,21.7,89.6,5.66,17.8,12.7,36.6,32.9,41.9,31.6,19.7,6.67,96.3,23.6,8.92,2.62,71.6,16.9
0.15,1.8,A,AC6,289.8,45.7,2.670454545,19.8,21.3,46.1,12.9,97.6,10.2,21.4,22.9,23.2,32.6,40.3,21.1,29.7,8.96,98.5,28.1,19.3,4.12,63.4,13.2
0.2,2.4,A,AC6,270,45.1,2.76953125,16.9,21,47.5,14.5,98.4,12.1,22.7,23.1,22.3,31.9,35.4,24.1,29,11.6,98.7,31.9,18.7,4.37,64.1,12.8
0.25,3,A,AC6,273.5,46.8,2.942857143,17.5,14.3,56.8,11.4,99.1,14.8,23.6,25.6,20.4,30.5,30.4,18.7,36.2,14.6,98.9,37.1,21.4,4.42,62.1,12.1
0.3,3.6,A,AC6,164.5,60,3.511627907,13.4,14.6,56.3,15.7,99.3,20.6,26.6,27.6,18.6,27.2,23.9,22,34.1,20,99.3,50.3,24.4,6.15,56.6,12.8
D1:1,0.4,D,AC7,1.47,90.4,19.87315011,6.02,4.23,55.5,34.2,98.6,53.2,60.5,23.7,9.99,5.85,9.51,7.74,42.9,39.9,99.3,62.3,58,9.6,27.2,5.22
D3:1,1.2,D,AC7,0.494,83.4,8.216981132,3.84,3.09,32.1,61,83,52.3,60.1,24.9,12.1,2.86,4.17,6.55,32.1,57.1,98.2,64.9,81,15.5,1.79,1.79
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:10,0,T,AC7,0.1,71.8,202.6530612,8.05,2.73,7.93,81.3,21.1,30.7,32.5,10.9,54.4,2.23,33.3,26.7,33.3,6.67,53.3,26.7,40,20,6.67,33.3
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.02,0.24,A,AC7,3.09,65.6,5.736111111,4.72,9.44,38.2,47.6,95,7.29,16.9,24.1,23.9,35.1,7.44,24.9,24.3,43.3,89.8,11.5,14.4,4.97,56.4,24.2
0.05,0.6,A,AC7,5.82,61.7,8.08490566,4.16,12.3,32.9,50.7,96.5,9.94,24.4,23.3,23.8,28.5,4.23,29.5,22.1,44.2,90.7,16.1,24.4,5.93,53.8,15.9
0.1,1.2,A,AC7,4.41,62.6,11.69909209,5.23,12.2,36.7,45.9,97.7,10.7,32.7,22.6,24,20.7,7.36,33.3,20.7,38.6,92.8,15.7,31.2,5.63,55.1,8.16
0.15,1.8,A,AC7,11.7,78.2,19.85200846,5.48,13.6,53.8,27.1,99.4,35.1,42.1,22.2,23,12.7,12.7,17.8,45.2,24.3,99.5,44.6,39.1,6.5,46.4,8.03
